Region;Profession ID;Professio;2016;2017;2018;2019;Growth;Growth 
Waikato;411;Health and Welfare Support Workers;1741;182;1914;2023;282;5.1
Waikato;421;Child Carers;833;857;881;905;72;2.8
Waikato;422;Education Aides;1297;1318;1335;1342;45;1.1
Waikato;423;Personal Carers and Assistants;3717;3789;3894;4034;317;2.8
Waikato;431;Hospitality Workers;3101;3172;3267;335;249;2.6
Waikato;441;Defence Force Members, Fire Fighters and Police;147;1535;1596;165;180;3.9
Waikato;442;Prison and Security Officers;1475;1553;1628;1697;221;4.8
Waikato;451;Personal Service and Travel Workers;105;1059;1069;1073;23;0.7
Waikato;452;Sports and Fitness Workers;1604;1665;1737;1802;199;4.0
Waikato;511;Contract, Program and Project Administrators;1776;1869;1966;2058;282;5.0
Waikato;512;Office and Practice Managers;3782;4032;4294;4548;766;6.3
Waikato;521;Personal Assistants and Secretaries;1164;1085;1003;915;-249;-7.7
Waikato;531;General Clerks;3352;3224;3091;2938;-414;-4.3
Waikato;532;Keyboard Operators;264;240;214;190;-75;-10.5
Waikato;541;Call or Contact Centre Information Clerks;260;253;247;239;-21;-2.7
Waikato;542;Receptionists;2335;2356;239;2429;94;1.3
Waikato;551;Accounting Clerks and Bookkeepers;2176;2212;225;228;103;1.6
Waikato;552;Financial and Insurance Clerks;667;639;613;590;-76;-4.0
Waikato;561;Clerical and Office Support Workers;1356;137;1385;1395;39;1.0
Waikato;591;Logistics Clerks;1288;1314;1344;1367;79;2.0
Waikato;599;Miscellaneous Clerical and Administrative Workers;149;1529;157;1606;115;2.5
Waikato;611;Insurance Agents and Sales Representatives;4098;4242;4404;4549;451;3.5
Waikato;612;Real Estate Sales Agents;109;113;1179;1228;138;4.1
Waikato;621;Sales Assistants and Salespersons;8326;8369;8469;8535;209;0.8
Waikato;631;Checkout Operators and Office Cashiers;1226;1243;1266;1285;58;1.6
Waikato;639;Miscellaneous Sales Support Workers;665;669;677;681;16;0.8
