region;industry_name;year_2016;year_2017;year_2018;year_2019;growth;growth_percentage
Taranaki;Printing, publishing and recorded media;72;73;73;73;2;0.8
Taranaki;Chemicals manufacturing;740;785;829;866;126;5.4
Taranaki;Non-metallic mineral products manufacturing;151;158;164;172;20;4.3
Taranaki;Metal product manufacturing;1819;1917;2012;2077;258;4.5
Taranaki;Machinery and equipment manufacturing;1473;1528;1575;1616;143;3.1
Taranaki;Furniture and other manufacturing;212;221;229;236;24;3.7
Taranaki;Electricity, gas and water supply;549;558;564;567;18;1.1
Taranaki;Construction;5271;5597;5849;6055;783;4.7
Taranaki;Wholesale trade;2086;2095;2108;2113;28;0.4
Taranaki;Retail trade (including motor vehicle repairs);5502;5582;5714;584;338;2.0
Taranaki;Accommodation, cafes and restaurants;3462;3526;3618;3694;233;2.2
Taranaki;Transport and storage;1885;1902;1931;195;65;1.1
Taranaki;Communication services;620;620;626;632;12;0.6
Taranaki;Finance and insurance;1153;1203;1259;1314;162;4.5
Taranaki;Property services;1315;1357;1413;1471;156;3.8
Taranaki;Business services;629;6477;6682;6883;593;3.0
Taranaki;Government admin. and defence;2266;2266;2252;223;-36;-0.5
Taranaki;Education;4039;4083;4117;4118;79;0.6
Taranaki;Health and community services;4989;5091;5241;5456;467;3.0
Taranaki;Cultural and recreational services;1081;1101;1131;1154;74;2.2
Taranaki;Personal and other community services;2209;2258;2328;2386;177;2.6
Manuawatu & Wanganui;Agriculture;12267;12393;12554;12599;332;0.9
Manuawatu & Wanganui;Fishing;76;87;100;115;38;14.5
Manuawatu & Wanganui;Forestry and logging;341;346;359;373;33;3.1
Manuawatu & Wanganui;Mining and quarrying;166;168;171;169;4;0.7
Manuawatu & Wanganui;Food, beverage and tobacco manufacturing;5418;5477;5557;563;212;1.3
Manuawatu & Wanganui;Textiles and apparel manufacturing;1068;1081;1097;1103;35;1.1
Manuawatu & Wanganui;Wood and paper products manufacturing;834;804;771;736;-98;-4.1
Manuawatu & Wanganui;Printing, publishing and recorded media;272;277;280;282;10;1.2
Manuawatu & Wanganui;Chemicals manufacturing;728;739;750;753;26;1.2
Manuawatu & Wanganui;Non-metallic mineral products manufacturing;304;306;307;310;7;0.7
Manuawatu & Wanganui;Metal product manufacturing;128;1307;1331;134;60;1.5
Manuawatu & Wanganui;Machinery and equipment manufacturing;1784;1819;1843;186;76;1.4
Manuawatu & Wanganui;Furniture and other manufacturing;508;519;529;535;28;1.8
Manuawatu & Wanganui;Electricity, gas and water supply;691;694;694;690;-1;-0.1
Manuawatu & Wanganui;Construction;7933;8116;8153;8096;163;0.7
Manuawatu & Wanganui;Wholesale trade;4864;4932;501;5072;209;1.4
Manuawatu & Wanganui;Retail trade (including motor vehicle repairs);1093;10957;1108;11184;254;0.8
Manuawatu & Wanganui;Accommodation, cafes and restaurants;6747;6903;7112;7294;547;2.6
Manuawatu & Wanganui;Transport and storage;3659;3704;377;382;160;1.4
Manuawatu & Wanganui;Communication services;846;826;813;799;-48;-1.9
Manuawatu & Wanganui;Finance and insurance;2015;2064;2123;2182;166;2.7
Manuawatu & Wanganui;Property services;1895;1897;1916;1936;41;0.7
Manuawatu & Wanganui;Business services;8324;8314;832;8312;-12;0.0
Manuawatu & Wanganui;Government admin. and defence;8683;8734;8733;8701;18;0.1
Manuawatu & Wanganui;Education;1074;10768;10764;10675;-65;-0.2
Manuawatu & Wanganui;Health and community services;11692;11926;12273;12771;1079;3.0
Manuawatu & Wanganui;Cultural and recreational services;2362;2332;2322;2297;-64;-0.9
Manuawatu & Wanganui;Personal and other community services;3875;3896;3952;3982;106;0.9
Wellington;Agriculture;4829;484;4863;4841;12;0.1
Wellington;Fishing;198;211;226;244;46;7.2
Wellington;Forestry and logging;307;310;319;329;22;2.3
Wellington;Mining and quarrying;398;418;441;453;54;4.4
Wellington;Food, beverage and tobacco manufacturing;4268;4359;4468;4572;304;2.3
Wellington;Textiles and apparel manufacturing;918;926;935;936;17;0.6
Wellington;Wood and paper products manufacturing;1257;1237;1213;1187;-69;-1.9
Wellington;Printing, publishing and recorded media;1332;1341;1346;1346;14;0.4
Wellington;Chemicals manufacturing;1518;1492;1463;142;-98;-2.2
Wellington;Non-metallic mineral products manufacturing;476;484;491;502;26;1.8
Wellington;Metal product manufacturing;1611;1606;1595;1565;-46;-1.0
Wellington;Machinery and equipment manufacturing;1935;19;1853;1797;-138;-2.4
Wellington;Furniture and other manufacturing;723;695;667;634;-88;-4.2
Wellington;Electricity, gas and water supply;2022;2065;2102;2124;102;1.6
Wellington;Construction;19238;20331;21139;21773;2535;4.2
Wellington;Wholesale trade;8997;8922;8859;8764;-233;-0.9
